airline_id,airline_name,country,icao_code,iata_code,alias
3342,L,Argentina,MJ,LPR,
3349,MasAir,Mexico,M7,MAA,
3350,MAT Macedonian Airlines,Macedonia,IN,MAK,
3354,MIAT Mongolian Airlines,Mongolia,OM,MGL,
3357,MNG Airlines,Turkey,MB,MNB,
3363,Macair Airlines,Australia,CC,MCK,
3366,Maersk,Denmark,DM,,
3370,Mahan Air,Iran,W5,IRM,
3378,Malaysia Airlines,Malaysia,MH,MAS,
3384,Malmo Aviation,Sweden,,SCW,
3386,Malmö Aviation,Sweden,TF,SCW,
3387,Malta Air Charter,Malta,R5,MAC,
3389,Malév,Hungary,MA,MAH,
3391,Mandala Airlines,Indonesia,RI,MDL,
3392,Mandarin Airlines,Taiwan,AE,MDA,
3393,Mango,South Africa,JE,MNO,
3411,Martinair,Netherlands,MP,MPH,
3432,Maxair,Sweden,8M,MXL,
3437,Maya Island Air,Belize,MW,MYD,
3463,Meridiana,Italy,IG,ISS,
3465,Merpati Nusantara Airlines,Indonesia,MZ,MNA,
3466,Mesa Airlines,United States,YV,ASH,
3467,Mesaba Airlines,United States,XJ,MES,
3479,Mexicana de Aviaci,Mexico,MX,MXA,
3490,Middle East Airlines,Lebanon,ME,MEA,
3494,Midway Airlines,United States,JI,MDW,
3497,Midwest Airlines,United States,YX,MEP,
3498,Midwest Airlines (Egypt),Egypt,MY,MWA,
3529,Moldavian Airlines,Moldova,2M,MDV,
3532,Monarch Airlines,United Kingdom,ZB,MON,
3534,Myway Airlines,Italy,8I,,
3539,Montenegro Airlines,Montenegro,YM,MGX,
3542,Morningstar Air Express,Canada,,MAL,
3545,Moskovia Airlines,Russia,3R,GAI,
3547,Motor Sich,Ukraine,M9,MSI,
3568,MyTravel Airways,United Kingdom,VZ,MYT,
3569,Myanma Airways,Myanmar,UB,UBA,
3570,Myanmar Airways International,Myanmar,8M,MMM,
3571,Myflug,Iceland,,MYA,
3589,Nasair,Eritrea,UE,NAS,
3608,National Jet Systems,Australia,NC,NJS,
3613,Nationwide Airlines,South Africa,CE,NTW,
3618,Nauru Air Corporation,Nauru,ON,RON,
3637,Nepal Airlines,Nepal,RA,RNA,
3641,NetJets,United States,1I,EJA,
3644,New England Airlines,United States,EJ,NEA,
3652,NextJet,Sweden,2N,NTJ,
3661,Niki,Austria,HG,NLY,
3674,Nok Air,Thailand,DD,NOK,
3684,Norfolk County Flight College,United Kingdom,,NCF,
3693,North American Airlines,Canada,,NTM,
3694,North American Charters,Canada,,HMR,
3721,Northern Dene Airways,Canada,U7,,
3731,Northwest Airlines,United States,NW,NWA,
3734,Northwestern Air,Canada,J3,PLR,
3737,Norwegian Air Shuttle,Norway,DY,NAX,
3738,Norwegian Aviation College,Norway,,TFN,
3740,Nouvel Air Tunisie,Tunisia,BJ,LBT,
3743,Novair,Sweden,1I,NVR,
3754,Nas Air,Saudi Arabia,XY,KNE,
3759,Oasis Hong Kong Airlines,Hong Kong,O8,OHK,
3760,Ocean Air,Mauritania,,BCN,
3764,Oceanair,Brazil,O6,ONE,
3765,Oceanic Airlines,Guinea,O2,,
3776,Olympic Airlines,Greece,OA,OAL,
3778,Oman Air,Oman,WY,OMA,
3781,Omni Air International,United States,OY,OAE,
3785,One Two Go Airlines,Thailand,,OTG,
3788,Onur Air,Turkey,8Q,OHY,
3805,Orenburg Airlines,Russia,R2,ORB,
3811,Orient Thai Airlines,Thailand,OX,OEA,
3814,Origin Pacific Airways,New Zealand,QO,OGN,
3822,Ostfriesische Lufttransport,Germany,OL,OLT,
3826,Overland Airways,Nigeria,OJ,OLA,
3831,Ozjet Airlines,Australia,O7,OZJ,
3834,PAN Air,Spain,PV,PNR,
3835,PB Air,Thailand,9Q,PBA,
3839,PLUNA,Uruguay,PU,PUA,
3840,PMTair,Cambodia,U4,PMT,
3850,Jetstar Pacific,Vietnam,BL,PIC,Pacific Airlines
3856,Pacific Coastal Airline,Canada,8P,PCO,
3857,Pacific East Asia Cargo Airlines,Philippines,Q8,PEC,
3860,Pacific Island Aviation,United States,,PSA,
3865,Pacific Wings,United States,LW,NMI,
3871,Pakistan International Airlines,Pakistan,PK,PIA,PIA Pakistan International
3907,Paramount Airways,India,I7,PMW,
3914,Passaredo Transportes Aereos,Brazil,,PTB,
3926,Pegasus Airlines,Turkey,PC,PGT,
3935,Peninsula Airways,United States,KS,PEN,
3952,Philippine Airlines,Philippines,PR,PAL,
3969,Piedmont Airlines (1948-1989),United States,PI,PDT,
3976,Pinnacle Airlines,United States,9E,FLG,
3995,Polet,Russia,,POT,
4013,Polynesian Airlines,Samoa,PH,PAO,
4021,Porter Airlines,Canada,PD,POE,
4022,Portugalia,Portugal,NI,PGA,
4026,Potomac Air,United States,BK,PDC,
4031,Precision Air,Tanzania,PW,PRF,
4056,Privatair,Switzerland,,PTI,
4066,Proflight Commuter Services,Zambia,P0,,
4089,Qantas,Australia,QF,QFA,Qantas Airways
4091,Qatar Airways,Qatar,QR,QTR,
4106,RACSA,Guatemala,R6,,
4113,Kinloss Flying Training Unit,United Kingdom,,KIN,
4177,Regional Airlines,Morocco,FN,,
4178,Regional Express,Australia,ZL,RXA,
4187,Republic Airlines,United States,RW,RPA,
4188,Republic Express Airlines,Indonesia,RH,RPH,
4232,Rossiya,Russia,R4,,
4234,Air Rarotonga,Cook Islands,GZ,RAR,
4248,Royal Air Maroc,Morocco,AT,RAM,
4255,Royal Brunei Airlines,Brunei,BI,RBA,
4259,Royal Jordanian,Jordan,RJ,RJA,
4264,Royal Nepal Airlines,Nepal,RA,RNA,
4270,Royal Phnom Penh Airways,Cambodia,,PPW,
4283,Rusline,Russia,,RLU,
4292,Rwandair Express,Rwanda,WB,RWD,
4294,Ryan Air Services,United States,,RYA,
4295,Ryan International Airlines,United States,RD,RYN,
4296,Ryanair,Ireland,FR,RYR,
4299,Régional,France,YS,RAE,
4304,SATA International,Portugal,S4,RZO,
4305,South African Airways,South Africa,SA,SAA,SAA South African Airways
4311,Shaheen Air International,Pakistan,NL,SAI,
4319,Scandinavian Airlines System,Sweden,SK,SAS,SAS Scandinavian Airlines
4323,ScotAirways,United Kingdom,,SAY,
4329,S7 Airlines,Russia,S7,SBI,Sibir Airlines
4335,Seaborne Airlines,United States,BB,SBS,
4342,Scenic Airlines,United States,,SCE,
4349,SriLankan Airlines,Sri Lanka,UL,ALK,
4356,Sun Country Airlines,United States,SY,SCX,
4370,Southeast Air,United States,,SEA,
4374,Sky Express,Greece,G3,SEH,
4375,Spicejet,India,SG,SEJ,
4388,Star Flyer,Japan,7G,SFJ,
4411,Skagway Air Service,United States,N5,SGY,
4414,Sahara Airlines,Algeria,,SHD,
4429,SATA Air Acores,Portugal,SP,SAT,
4435,Singapore Airlines,Singapore,SQ,SIA,
4436,Sibaviatrans,Russia,5M,SIB,
4438,Skynet Airlines,Ireland,SI,SIH,
4454,Sriwijaya Air,Indonesia,SJ,SJY,
4455,Sama Airlines,Saudi Arabia,ZS,SMY,
4464,Singapore Airlines Cargo,Singapore,SQ,SQC,
4469,Siem Reap Airways,Cambodia,FT,SRH,
4475,South East Asian Airlines,Philippines,DG,SRQ,
4496,Skyservice Airlines,Canada,5G,SSV,
4513,Servicios de Transportes A,Argentina,FS,STU,
4521,Sudan Airways,Sudan,SD,SUD,
4533,Saudi Arabian Airlines,Saudi Arabia,SV,SVA,
4547,Southwest Airlines,United States,WN,SWA,
4550,Southern Winds Airlines,Argentina,A4,SWD,
4559,Swiss International Air Lines,Switzerland,LX,SWR,Swiss Airlines
4560,Swissair,Switzerland,SR,SWR,
4563,Swiss European Air Lines,Switzerland,,SWU,Swiss European
4564,Swe Fly,Sweden,WV,SWV,
4573,SunExpress,Turkey,XQ,SXS,
4586,Syrian Arab Airlines,Syrian Arab Republic,RB,SYR,
4589,Skywalk Airlines,United States,AL,SYX,
4599,Shandong Airlines,China,SC,CDG,
4606,SAS Braathens,Norway,,CNO,
4607,Spring Airlines,China,9S,CQH,
4608,Sichuan Airlines,China,3U,CSC,
4609,Shanghai Airlines,China,FM,CSH,
4611,Shenzhen Airlines,China,ZH,CSZ,
4619,Sun D'Or,Israel,7L,ERO,
4620,SkyEurope,Slovakia,NE,ESK,
4640,Sky Europe Airlines,Slovakia,,HSK,
4652,Spanair,Spain,JK,JKK,
4687,Spirit Airlines,United States,NK,NKS,
4691,SATENA,Colombia,9R,NSE,
4702,Skywest Airlines,Australia,,OZW,
4735,Santa Barbara Airlines,Venezuela,S3,BBR,
4737,Sky Airline,Chile,H2,SKU,
4738,SkyWest,United States,OO,SKW,
4739,Skyways Express,Sweden,JZ,SKX,
4740,Skymark Airlines,Japan,BC,SKY,
4750,SilkAir,Singapore,MI,SLK,
4752,Surinam Airways,Suriname,PY,SLM,
4776,Sterling Airlines,Denmark,NB,SNB,
4781,Skynet Asia Airways,Japan,6J,SNJ,
4797,Solomon Airlines,Solomon Islands,IE,SOL,
4804,Southern Airways,United States,,SOU,
4805,Saratov Aviation Division,Russia,6W,SOV,
4808,Sat Airlines,Kazakhstan,HZ,SOZ,
4816,South Pacific Island Airways,United States,,SPI,
4822,Shuttle America,United States,S5,TCF,
4840,Scat Air,Kazakhstan,DV,VSV,
4863,TAME,Ecuador,EQ,TAE,
4867,TAM Brazilian Airlines,Brazil,JJ,TAM,
4869,TAP Portugal,Portugal,TP,TAP,TAP Air Portugal
4870,Tunisair,Tunisia,TU,TAR,
4889,Thai Air Cargo,Thailand,T2,TCG,
4896,Thomas Cook Airlines,Belgium,FQ,TCW,
4897,Thomas Cook Airlines,United Kingdom,MT,TCX,
4933,Trigana Air Service,Indonesia,,TGN,
4936,Tiger Airways,Singapore,TR,TGW,
4937,Tiger Airways Australia,Australia,TT,TGW,
4940,Thai Airways International,Thailand,TG,THA,
4946,Turk Hava Kurumu Hava Taksi Isletmesi,Turkey,,THK,
4947,Thai AirAsia,Thailand,FD,AIQ,Thai Air Asia
4951,Turkish Airlines,Turkey,TK,THY,
4957,Tajikistan International Airlines,Tajikistan,,TIL,
4965,Twin Jet,France,T7,TJT,
4970,Translift Airways,Ireland,,TLA,
4981,Trans Mediterranean Airlines,Lebanon,TL,TMA,
5002,Tiara Air,Aruba,3P,TNM,
5013,Thomsonfly,United Kingdom,BY,TOM,
5016,Tropic Air,Belize,PM,TOS,
5020,TAMPA,Colombia,QT,TPA,
5038,TransAsia Airways,Taiwan,GE,TNA,
5039,Transavia Holland,Netherlands,HV,TRA,
5041,TACV,Portugal,VR,TCV,
5064,Transwest Air,Canada,9T,ABS,
5067,Transaero Airlines,Russia,UN,TSO,
5083,Turkmenistan Airlines,Turkmenistan,T5,TUA,Turkmenhovayollary
5085,Tuninter,Tunisia,UG,TUI,
5097,Travel Service,Czech Republic,QS,TVS,
5122,TUIfly Nordic,Sweden,6B,BLX,
5133,TAAG Angola Airlines,Angola,DT,DTA,
5146,Turkish Air Force,Turkey,,HVK,
5156,TAM Mercosur,Paraguay,PZ,LAP,
5160,Trans States Airlines,United States,AX,LOF,
5179,Tarom,Romania,RO,ROT,
5187,Turan Air,Azerbaijan,3T,URN,
5188,TRIP Linhas A,Brazil,8R,TIB,
5207,USA3000 Airlines,United States,U5,GWY,
5209,United Airlines,United States,UA,UAL,
5210,United Air Charters,Zimbabwe,,UAC,
5234,Ural Airlines,Russia,U6,SVR,
5251,UM Airlines,Ukraine,UF,UKM,
5265,US Airways,United States,US,USA,
5268,US Helicopter,United States,,USH,
5271,UTair Aviation,Russia,UT,UTA,
5279,United States Air Force,United States,,AIO,
5281,Uzbekistan Airways,Uzbekistan,HY,UZB,
5282,Ukraine International Airlines,Ukraine,PS,AUI,
5284,US Helicopter Corporation,United States,UH,,
5297,Valuair,Singapore,VF,VLU,
5301,Vasco Air,Vietnam,,VFC,
5309,Vietnam Airlines,Vietnam,VN,HVN,
5311,VIM Airlines,Russia,NN,MOV,
5325,Volaris,Mexico,Y4,VOI,
5326,Volga-Dnepr Airlines,Russia,VI,VDA,
5331,Virgin America,United States,VX,VRD,
5333,Virgin Express,Belgium,TV,VEX,
5335,Virgin Nigeria Airways,Nigeria,VK,VGN,
5347,Virgin Atlantic Airways,United Kingdom,VS,VIR,
5350,Viva Macau,Macao,ZG,VVM,
5351,Volare Airlines,Italy,VE,VLE,
5352,Vueling Airlines,Spain,VY,VLG,
5353,Vladivostok Air,Russia,XF,VLK,
5354,Varig Log,Brazil,LC,VLO,
5360,Virgin Australia,Australia,VA,VOZ,
5368,VRG Linhas Aereas,Brazil,RG,VRN,Varig
5373,VASP,Brazil,VP,VSP,
5383,VLM Airlines,Belgium,VG,VLM,
5397,Wayraper,Peru,7W,,
5399,WebJet Linhas A,Brazil,WJ,WEB,
5401,Welcome Air,Austria,2W,WLC,
5411,West Coast Air,Canada,8O,,
5416,WestJet,Canada,WS,WJA,
5424,Western Airlines,United States,WA,WAL,
5439,Widerøe,Norway,WF,WIF,
5447,Wind Jet,Italy,IV,JET,
5451,Wings Air,Indonesia,IW,WON,
5461,Wizz Air,Hungary,W6,WZZ,
5462,Wizz Air Hungary,Bulgaria,8Z,WVL,
5465,World Airways,United States,WO,WOA,
5479,XL Airways France,France,SE,SEU,
5484,Xiamen Airlines,China,MF,CXA,
5492,Yamal Airlines,Russia,YL,LLM,
5496,Yemenia,Yemen,IY,IYE,
5501,Yuzhmashavia,Ukraine,,UMK,
5510,Zanair,Tanzania,,TAN,
5523,Zoom Airlines,Canada,Z4,OOM,
5559,Maldivian Air Taxi,Maldives,8Q,,
5584,Sky Express,Russia,XW,SXR,SkyExpress
5651,Royal Air Cambodge,Cambodia,VJ,RAC,
5813,Air Mandalay,Burma,6T,,
5982,Air Busan,Republic of Korea,BX,ABL,
6196,Globus,Russia,GH,GLP,
6222,Air Kazakhstan,Kazakhstan,9Y,KZK,
6557,Japan Air System,Japan,JD,JAS,
6855,EasyJet (DS),Switzerland,DS,,
8359,Star Peru (2I),Peru,2I,,
8461,Carnival Air Lines,United States,KW,,
8463,United Airways,Bangladesh,4H,UBD,
8576,Fly540,Kenya,5H,FFV,
8745,Transavia France,France,TO,TVF,
8809,Island Air (WP),United States,WP,MKU,
9082,Uni Air,Taiwan,B7,UIA,
9135,Gomelavia,Belarus,YD,,
9239,Red Wings,Russia,WZ,RWZ,Avialinii 400
9335,TUIfly (X3),Germany,11,,
9343,Felix Airways,Yemen,FU,FXX,
9344,Kostromskie avialinii,Russia,K1,KOQ,
9373,Greenfly,Spain,XX,GFY,
9531,Tajik Air,Tajikistan,7J,,
9541,Air Mozambique,Mozambique,TM,,
9577,ELK Airways,Estonia,--,ELK,
9620,Gabon Airlines,Gabon,GY,GBK,
9626,MCA Airlines,Sweden,,MCA,
9656,Maldivo Airlines,Maldives,ML,MAV,
9666,Virgin Pacific,Fiji,VH,VNP,
9764,Zest Air,Philippines,Z2,,
9784,Yangon Airways,Burma,HK,,
9809,Eastar Jet,South Korea,ZE,ESR,
9810,Jin Air,South Korea,LJ,JNA,
9811,Wataniya Airways,Kuwait,,KW1,
9818,Air Arabia Maroc,Morocco,3O,,
9825,Baltic Air lines,Latvia,B1,BA1,
9828,Ciel Canadien,Canada,YC,YCC,
9829,Canadian National Airways,Canada,CN,YCP,
9833,Epic Holiday,United States,FA,4AA,Epic Holidays
9838,Indochina Airlines,Vietnam,,AXC,
9851,Air Comet Chile,Chile,3I,,
9859,German Air Force - FLB,Germany,,FLB,
10114,Line Blue,Germany,L8,LBL,
10117,FlyLAL Charters,Lithuania,,LLC,
10122,Salzburg arrows,Austria,SZ,,SZA
10123,Texas Wings,United States,TQ,TXW,
10128,Dennis Sky,Israel,DH,DSY,Dennis Sky Holding
10224,Zz,Belgium,ZZ,,
10226,Atifly,United States,A1,A1F,
10371,Aerolineas heredas santa maria,Dominican Republic,,SZB,
10372,Ciao Air,Italy,99,,
10642,Jc royal.britannica,United Kingdom,,JRB,
10650,Pal airlines,Chile,5P,,
10673,CanXpress,Canada,C1,CA1,
10674,Danube Wings (V5),Slovakia,V5,,
10675,Sharp Airlines,Australia,SH,SHA,
10683,CanXplorer,Canada,C2,CAP,
10715,Click (Mexicana),Mexico,QA,,
10735,World Experience Airline,Canada,W1,WE1,WEA
10737,ALAK,Russia,J4,,
10739,Air Choice One,United States,3E,,
10740,Tianjin Airlines,China,,GCR,
10741,China United,China,KN,,
10748,Locair,United States,ZQ,LOC,
10758,Safi Airlines,Afghanistan,4Q,,
10765,SeaPort Airlines,United States,K5,SQH,
10776,Salmon Air,United States,S6,,
10798,Bobb Air Freight,Germany,01,,
10800,Star1 Airlines,Lithuania,V9,HCW,
10845,Pelita,Indonesia,6D,,
10912,Alaska Seaplane Service,United States,J5,,
10945,Enerjet,Canada,,ENJ,
10955,MexicanaLink,Mexico,I6,MXI,
10960,Island Spirit,Iceland,IP,ISX,
10969,TACA Peru,Peru,T0,,
11700,Orbest,Portugal,,OBS,
11719,Southern Air Charter,Bahamas,,SOA,
11724,SVG Air,Saint Vincent and the Grenadines,,SVG,
11726,Air Century,Dominican Republic,,CEY,
11731,Pan Am World Airways Dominicana,Dominican Republic,7Q,,PAWA Dominicana
11732,Primera Air,Iceland,PF,,
11741,Air Antilles Express,Guadeloupe,3S,,
11751,Sol Lineas Aereas,Argentina,,OLS,
11755,Regional Paraguaya,Paraguay,P7,REP,
11761,VIP Ecuador,Ecuador,V6,,
11762,Transportes Aereos Cielos Andinos,Peru,,NDN,
11763,Peruvian Airlines,Peru,P9,,
11765,EasyFly,Colombia,,EFY,
11767,Polar Airlines,Russia,ЯП,,
11794,Catovair,Mauritius,OC,,
11795,Andalus Lineas Aereas,Spain,,ANU,
11798,Air 26,Angola,,DCD,
11800,Mauritania Airways,Mauritania,,MTW,
11802,CEIBA Intercontinental,Equatorial Guinea,,CEL,
11804,Halcyonair,Cape Verde,7Z,,
11805,Business Aviation,Congo (Kinshasa),4P,,
11806,Compagnie Africaine d\\'Aviation,Congo (Kinshasa),E9,,
11808,Zambia Skyways,Zambia,K8,,
11811,AlMasria Universal Airlines,Egypt,UJ,LMU,
11813,EgyptAir Express,Egypt,,MSE,
11814,SmartLynx Airlines,Latvia,6Y,,
11815,Air Italy Egypt,Egypt,,EUD,
11816,KoralBlue Airlines,Egypt,K7,KBR,
11820,Wind Rose Aviation,Ukraine,,WRC,
11823,Elysian Airlines,Cameroon,E4,GIE,
11833,Sevenair,Tunisia,,SEN,
11834,Hellenic Imperial Airways,Greece,HT,IMP,
11836,Amsterdam Airlines,Netherlands,WD,AAN,
11838,Arik Niger,Niger,Q9,NAK,
11839,Dana Air,Nigeria,DA,,
11840,STP Airways,Sao Tome and Principe,8F,STP,
11843,Med Airways,Lebanon,7Y,,
11850,Skyjet Airlines,Uganda,UQ,SJU,
11855,Air Volga,Russia,G6,,
11856,Transavia Denmark,Denmark,,TDK,
11857,Royal Falcon,Jordan,RL,RFJ,
11873,Euroline,Georgia,4L,MJX,
11943,Turkuaz Airlines,Turkey,,TRK,
11947,Athens Airways,Greece,ZF,,
11948,Viking Hellas,Greece,VQ,VKH,
11949,Norlandair,Iceland,,FNA,
11950,Flugfelag Vestmannaeyja,Iceland,,FVM,
11963,Starline.kz,Kazakhstan,DZ,,
12960,Lugansk Airlines,Ukraine,L7,,
12961,Gryphon Airlines,United States,6P,,
12962,Gadair European Airlines,Spain,GP,GDR,
12965,Spirit of Manila Airlines,Philippines,SM,MNP,
12975,Chongqing Airlines,China,OQ,CQN,
12976,Grand China Air,China,,GDC,
12978,West Air China,China,PN,CHB,
12997,QatXpress,Qatar,C3,QAX,qatXpress
13076,OneChina,China,1C,1CH,OneChina
13088,NordStar Airlines,Russia,Y7,,
13089,Joy Air,China,JR,JOY,
13105,Air India Regional,India,CD,,
13106,MDLR Airlines,India,9H,,
13107,Jagson Airlines,India,,JGN,
13108,Maldivian,Maldives,Q2,,
13130,Xpressair,Indonesia,XN,,
13178,Strategic Airlines,Australia,VC,,
13181,Fars Air Qeshm,Iran,,QFZ,
13187,Eastok Avia,Kyrgyzstan,,EAA,
13188,Jupiter Airlines,United Arab Emirates,,JPU,
13189,Vision Air International,Pakistan,,VIS,
13190,Al-Naser Airlines,Iraq,,,
13200,Fuji Dream Airlines,Japan,JH,,
13202,Korea Express Air,South Korea,,KEA,
13209,Eznis Airways,Mongolia,,EZA,
13211,Pacific Flier,Palau,,PFL,
13217,Syrian Pearl Airlines,Syria,,PSB,
13218,SGA Airlines,Thailand,5E,,
13242,Air2there,New Zealand,F8,,
13254,Avianova (Russia),Russia,AO,,
13303,Parmiss Airlines (IPV),Iran,PA,IPV,
13304,EuropeSky,Germany,ES,EUV,
13306,BRAZIL AIR,Brazil,GB,BZE,BRAZIL AIR
